station_id,lat,lon,source,reports,country
SPCA2,59.657,-135.268,madis,subhourly,US
SPCC1,38.666,-119.817,madis,subhourly,US
SPCM4,46.458,-85.627,madis,subhourly,US
SPCT2,30.659,-101.77,madis,subhourly,US
SPCW1,47.935,-118.935,madis,subhourly,US
SPCW4,42.512,-108.776,madis,subhourly,US
SPDC1,34.175,-117.985,madis,subhourly,US
SPDW1,46.251,-122.341,madis,subhourly,US
SPEM1,45.314,-70.242,madis,subhourly,US
SPEO2,36.278,-95.954,madis,subhourly,US
SPEW1,47.14,-122.091,madis,subhourly,US
SPFM5,44.203,-95.048,madis,subhourly,US
SPFW2,38.996,-80.298,madis,subhourly,US
SPGA2,60.819,-148.976,madis,subhourly,US
SPGG1,33.484,-83.958,madis,subhourly,US
SPGN1,40.629,-96.789,madis,subhourly,US
SPGN2,40.593,-114.205,madis,subhourly,US
SPGO1,39.284,-84.433,madis,subhourly,US
SPGW1,46.183,-117.542,madis,subhourly,US
SPGW2,39.091,-80.795,madis,subhourly,US
SPHL1,32.994,-93.396,madis,subhourly,US
SPIV2,37.181,-81.379,madis,subhourly,US
SPJC1,36.01,-118.391,madis,subhourly,US
SPJG1,33.803,-84.341,madis,subhourly,US
SPKC2,38.192,-108.217,madis,subhourly,US
SPKI4,41.778,-93.725,madis,subhourly,US
SPKN1,42.902,-100.362,madis,subhourly,US
SPKSC,34.418,-87.172,madis,subhourly,US
SPKU1,40.839,-110.005,madis,subhourly,US
SPKW2,38.427,-80.164,madis,subhourly,US
SPKW4,44.306,-106.982,madis,subhourly,US
SPLN1,41.204,-98.446,madis,subhourly,US
SPLS1,33.557,-80.441,madis,subhourly,US
SPLW1,46.095,-121.763,madis,subhourly,US
SPLW4,43.561,-107.395,madis,subhourly,US
SPMC2,38.533,-104.902,madis,subhourly,US
SPMD,39.27,-105.62,madis,subhourly,US
SPMI1,43.209,-111.688,madis,subhourly,US
SPMN2,40.438,-114.81,madis,subhourly,US
SPMNX,45.225,-92.804,madis,subhourly,US
SPMT2,36.202,-101.306,madis,subhourly,US
SPMU1,40.391,-109.353,madis,subhourly,US
SPMW1,46.18,-121.927,madis,subhourly,US
SPMW2,37.873,-81.298,madis,subhourly,US
SPNI3,39.28,-86.762,madis,subhourly,US
SPNN2,39.635,-119.705,madis,subhourly,US
SPNO1,41.109,-82.095,madis,subhourly,US
SPNT2,30.111,-95.436,madis,subhourly,US
SPNW2,37.433,-81.11,madis,subhourly,US
SPOC1,35.346,-120.649,madis,subhourly,US
SPOI4,43.128,-95.211,madis,subhourly,US
SPOM8,47.924,-113.525,madis,subhourly,US
SPONV,39.117,-119.845,madis,subhourly,US
SPOV2,37.962,-79.212,madis,subhourly,US
SPPSD,32.999,-116.789,madis,subhourly,US
SPRAZ,36.15,-109.52,madis,subhourly,US
SPRM8,46.78,-110.622,madis,subhourly,US
SPRNV,39.104,-119.897,madis,subhourly,US
SPRT2,36.361,-101.164,madis,subhourly,US
SPRV2,37.273,-80.544,madis,subhourly,US
SPSC2,37.699,-107.777,madis,subhourly,US
SPSM1,44.304,-70.54,madis,subhourly,US
SPSO3,45.755,-118.049,madis,subhourly,US
